EmployeeID,Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,OverTime,WorkLifeBalance,YearsAtCompany,TotalWorkingYears
80,46,No,Travel_Frequently,Research & Development,3,3,Human Resources,Female,Healthcare Representative,3,Divorced,15043,No,3,8,8
81,25,Yes,Non-Travel,Sales,1,2,Human Resources,Male,Sales Executive,1,Single,13419,No,2,28,39
82,26,No,Travel_Frequently,Research & Development,21,4,Other,Male,Manufacturing Director,2,Single,5511,Yes,2,31,34
83,36,No,Travel_Rarely,Research & Development,1,2,Life Sciences,Female,Research Director,2,Divorced,17000,No,3,12,18
84,35,No,Non-Travel,Research & Development,2,4,Life Sciences,Male,Manufacturing Director,2,Divorced,10418,No,3,3,6
85,31,No,Travel_Frequently,Research & Development,23,3,Life Sciences,Male,Laboratory Technician,4,Single,12220,No,4,0,15
86,49,No,Non-Travel,Sales,1,3,Life Sciences,Male,Sales Executive,3,Married,10423,No,4,30,32
87,23,No,Non-Travel,Research & Development,9,3,Marketing,Male,Research Director,4,Married,17000,No,2,2,7
88,25,No,Travel_Frequently,Research & Development,2,4,Other,Female,Manager,3,Single,12923,No,3,2,16
89,29,No,Non-Travel,Research & Development,1,4,Medical,Male,Manufacturing Director,2,Single,8630,No,4,9,20
90,40,No,Travel_Rarely,Research & Development,1,3,Medical,Female,Laboratory Technician,2,Divorced,9900,No,3,0,3
91,29,No,Travel_Frequently,Sales,5,2,Human Resources,Male,Manager,3,Divorced,12000,No,3,10,10
92,37,No,Travel_Frequently,Research & Development,3,4,Other,Male,Research Director,2,Divorced,17000,No,3,1,14
93,32,No,Non-Travel,Sales,1,4,Technical Degree,Male,Sales Representative,1,Single,9662,No,3,4,9
94,33,No,Travel_Rarely,Research & Development,6,4,Technical Degree,Male,Laboratory Technician,3,Single,4030,No,3,5,20
95,30,No,Travel_Frequently,Human Resources,8,4,Human Resources,Male,Human Resources,1,Married,6431,No,1,2,3
96,39,No,Travel_Frequently,Sales,8,5,Technical Degree,Male,Sales Representative,1,Divorced,10913,No,3,4,9
97,30,No,Travel_Frequently,Sales,9,3,Marketing,Female,Sales Executive,4,Single,7444,No,2,11,15
98,41,No,Travel_Rarely,Research & Development,4,3,Marketing,Female,Research Director,3,Single,17000,No,3,2,17
99,46,No,Non-Travel,Sales,7,3,Marketing,Male,Manager,1,Married,12000,No,2,7,7
100,27,No,Travel_Frequently,Research & Development,14,4,Medical,Female,Laboratory Technician,3,Single,3921,No,3,6,8
101,42,No,Travel_Frequently,Research & Development,6,4,Marketing,Male,Research Director,3,Single,17000,No,2,3,7
102,32,No,Non-Travel,Sales,4,4,Technical Degree,Female,Sales Representative,4,Divorced,7461,Yes,3,3,16
103,48,No,Travel_Rarely,Sales,1,4,Life Sciences,Female,Manager,2,Married,12000,Yes,3,4,19
104,40,No,Travel_Rarely,Research & Development,4,3,Marketing,Male,Manager,4,Divorced,12000,No,2,3,4
105,36,No,Non-Travel,Research & Development,17,3,Marketing,Male,Laboratory Technician,4,Married,1032,No,1,9,13
106,22,No,Non-Travel,Sales,7,4,Other,Female,Sales Executive,3,Single,3198,No,3,0,12
107,35,No,Travel_Rarely,Research & Development,12,2,Medical,Male,Healthcare Representative,3,Married,8030,No,3,18,31
108,29,No,Travel_Rarely,Sales,13,4,Human Resources,Female,Sales Executive,3,Married,2019,Yes,1,29,30
109,30,Yes,Non-Travel,Sales,9,3,Technical Degree,Male,Manager,2,Single,12000,Yes,1,5,7
110,32,No,Non-Travel,Research & Development,9,4,Medical,Female,Laboratory Technician,4,Married,4049,No,3,3,8
111,33,No,Travel_Rarely,Research & Development,3,5,Life Sciences,Female,Research Director,3,Divorced,17000,No,3,9,9
112,51,No,Travel_Rarely,Sales,5,3,Medical,Female,Sales Representative,2,Married,9963,No,3,1,4
113,29,No,Non-Travel,Research & Development,7,2,Other,Female,Manager,1,Married,12000,No,2,8,18
114,35,No,Non-Travel,Research & Development,13,4,Marketing,Male,Healthcare Representative,2,Married,1209,No,3,8,18
115,25,No,Travel_Rarely,Research & Development,7,3,Life Sciences,Female,Manager,4,Divorced,12000,Yes,4,5,20
116,35,No,Travel_Frequently,Sales,17,4,Technical Degree,Male,Sales Representative,4,Married,3622,No,2,5,16
117,26,No,Travel_Rarely,Research & Development,1,2,Medical,Male,Manager,3,Single,12000,Yes,3,13,22
118,40,No,Non-Travel,Research & Development,7,3,Life Sciences,Male,Healthcare Representative,1,Married,10903,No,2,2,2
119,31,No,Travel_Frequently,Research & Development,1,4,Human Resources,Female,Manufacturing Director,4,Married,8774,Yes,3,34,42
120,43,No,Non-Travel,Research & Development,19,5,Other,Female,Research Scientist,2,Married,3096,Yes,2,33,41
121,54,No,Travel_Rarely,Research & Development,10,2,Marketing,Male,Manufacturing Director,4,Single,14489,No,1,30,31
122,39,No,Travel_Rarely,Sales,4,4,Marketing,Male,Sales Representative,3,Single,2552,No,3,6,20
123,47,No,Non-Travel,Research & Development,2,3,Medical,Male,Laboratory Technician,4,Married,9354,No,3,12,17
124,23,No,Non-Travel,Research & Development,10,3,Medical,Female,Research Director,1,Married,17000,Yes,2,4,15
125,31,No,Non-Travel,Research & Development,1,2,Marketing,Male,Manufacturing Director,3,Divorced,5118,No,3,5,14
126,48,Yes,Travel_Rarely,Research & Development,3,4,Life Sciences,Female,Research Director,4,Married,17000,Yes,3,1,7
127,22,Yes,Travel_Rarely,Research & Development,4,2,Other,Female,Laboratory Technician,4,Single,1642,No,4,0,10
128,25,No,Non-Travel,Sales,10,3,Medical,Male,Sales Executive,3,Single,6170,No,3,9,15
129,38,No,Non-Travel,Sales,8,4,Medical,Male,Manager,3,Single,12000,No,3,0,13
130,25,No,Travel_Rarely,Research & Development,1,3,Human Resources,Female,Healthcare Representative,2,Divorced,1075,No,3,14,25
131,38,Yes,Non-Travel,Sales,13,4,Technical Degree,Female,Sales Representative,4,Single,5945,Yes,3,5,6
132,26,Yes,Travel_Rarely,Sales,5,3,Life Sciences,Female,Sales Executive,2,Single,8575,No,3,0,6
133,38,No,Travel_Rarely,Research & Development,2,3,Technical Degree,Male,Research Scientist,4,Divorced,8264,Yes,3,4,12
134,49,No,Travel_Rarely,Research & Development,4,4,Human Resources,Female,Research Scientist,2,Divorced,7960,No,4,15,16
135,41,No,Non-Travel,Research & Development,4,4,Human Resources,Female,Manager,2,Married,16635,No,3,0,4
136,37,Yes,Travel_Frequently,Research & Development,17,2,Technical Degree,Male,Manager,3,Divorced,12000,No,3,11,25
137,35,No,Travel_Frequently,Sales,1,4,Marketing,Male,Manager,1,Married,12000,Yes,3,1,1
138,33,No,Travel_Rarely,Sales,10,3,Human Resources,Male,Manager,4,Married,12000,Yes,3,1,10
139,27,No,Travel_Frequently,Research & Development,6,3,Other,Female,Manager,2,Married,12000,Yes,2,2,11
140,26,No,Travel_Frequently,Sales,1,3,Marketing,Male,Sales Representative,4,Married,3204,Yes,2,4,13
141,33,No,Travel_Frequently,Research & Development,13,3,Life Sciences,Female,Research Scientist,3,Divorced,1287,No,3,4,8
142,28,No,Travel_Frequently,Research & Development,5,3,Life Sciences,Male,Healthcare Representative,3,Divorced,9839,No,4,0,3
143,37,No,Non-Travel,Sales,3,4,Marketing,Female,Sales Representative,4,Married,6187,No,4,2,14
144,27,Yes,Travel_Frequently,Research & Development,1,3,Human Resources,Female,Manager,2,Married,12000,No,3,15,25
145,40,No,Non-Travel,Sales,9,3,Human Resources,Female,Manager,3,Married,12000,No,3,9,22
146,36,No,Non-Travel,Research & Development,9,4,Technical Degree,Male,Healthcare Representative,4,Single,9208,No,3,4,18
147,57,No,Travel_Frequently,Research & Development,2,3,Life Sciences,Female,Manufacturing Director,4,Single,3423,No,3,7,16
148,31,Yes,Travel_Rarely,Research & Development,9,4,Human Resources,Male,Laboratory Technician,3,Married,2416,No,3,0,1
149,20,Yes,Travel_Frequently,Research & Development,7,2,Technical Degree,Male,Manager,3,Divorced,13097,Yes,2,11,19
150,23,No,Non-Travel,Sales,10,4,Human Resources,Female,Sales Executive,1,Single,2331,No,3,3,4
151,43,No,Non-Travel,Sales,8,3,Technical Degree,Male,Sales Executive,3,Single,15412,No,4,6,6
152,29,No,Travel_Rarely,Research & Development,9,3,Human Resources,Female,Laboratory Technician,4,Married,9688,No,1,1,16
153,32,No,Travel_Frequently,Research & Development,16,2,Medical,Male,Research Director,2,Single,17000,No,3,2,7
154,42,No,Non-Travel,Human Resources,1,4,Technical Degree,Female,Manager,2,Divorced,12000,Yes,3,1,10
155,28,No,Travel_Frequently,Sales,2,4,Technical Degree,Male,Sales Executive,4,Single,8767,No,3,15,22
156,37,No,Travel_Frequently,Sales,2,4,Technical Degree,Female,Sales Representative,3,Divorced,10034,No,3,6,17
157,38,No,Non-Travel,Sales,2,1,Other,Female,Sales Representative,3,Divorced,13556,Yes,3,5,14
158,39,No,Travel_Frequently,Research & Development,4,2,Marketing,Male,Manager,1,Divorced,12000,No,3,0,9
159,49,No,Non-Travel,Research & Development,4,1,Other,Male,Laboratory Technician,4,Single,7311,No,3,13,24
160,47,No,Travel_Frequently,Sales,11,4,Life Sciences,Male,Sales Representative,3,Divorced,5885,Yes,3,3,8
161,42,No,Travel_Frequently,Research & Development,16,4,Marketing,Female,Manager,4,Single,12000,No,3,28,39
162,21,No,Travel_Frequently,Human Resources,8,3,Marketing,Female,Human Resources,3,Single,5637,No,3,10,12
163,31,No,Non-Travel,Research & Development,2,4,Other,Female,Healthcare Representative,3,Divorced,1421,No,3,8,22
164,28,Yes,Travel_Rarely,Research & Development,4,5,Other,Male,Manager,2,Single,12000,No,1,1,9
165,32,No,Travel_Frequently,Sales,7,3,Medical,Female,Manager,3,Single,12000,No,2,0,14
166,37,No,Non-Travel,Research & Development,4,4,Technical Degree,Male,Laboratory Technician,4,Married,11279,No,2,15,27
167,37,No,Travel_Frequently,Sales,26,5,Medical,Female,Sales Executive,3,Divorced,3125,No,1,2,16
168,34,No,Travel_Frequently,Research & Development,8,4,Technical Degree,Male,Research Director,1,Divorced,17000,No,4,4,14
169,23,No,Travel_Frequently,Sales,12,1,Technical Degree,Male,Sales Executive,4,Divorced,2076,Yes,4,15,24
170,36,No,Travel_Frequently,Research & Development,1,3,Marketing,Female,Laboratory Technician,4,Married,14993,Yes,2,1,12
171,33,No,Travel_Rarely,Research & Development,26,4,Marketing,Female,Laboratory Technician,1,Single,8531,No,3,6,8
172,18,Yes,Travel_Frequently,Sales,22,2,Life Sciences,Female,Sales Representative,4,Single,9015,Yes,1,7,20
173,32,No,Non-Travel,Research & Development,4,4,Technical Degree,Female,Research Scientist,3,Single,1767,Yes,3,0,10
174,35,No,Non-Travel,Research & Development,6,4,Technical Degree,Female,Manufacturing Director,3,Single,5999,No,2,32,47
175,37,Yes,Travel_Frequently,Research & Development,24,4,Marketing,Male,Healthcare Representative,3,Single,4373,Yes,2,5,18
176,36,No,Travel_Frequently,Sales,1,3,Marketing,Male,Sales Representative,3,Divorced,9070,No,2,9,16
177,37,No,Travel_Frequently,Sales,2,2,Human Resources,Female,Sales Representative,1,Married,2055,No,3,5,8
178,30,No,Non-Travel,Research & Development,10,3,Life Sciences,Male,Laboratory Technician,3,Divorced,2437,No,2,2,2
179,34,Yes,Travel_Frequently,Human Resources,10,2,Other,Female,Human Resources,2,Married,7553,No,3,15,15
180,29,Yes,Non-Travel,Sales,7,1,Other,Male,Manager,2,Married,12000,No,3,1,12
181,26,Yes,Non-Travel,Sales,5,4,Other,Female,Sales Representative,4,Married,3597,Yes,3,3,7
182,41,No,Travel_Frequently,Research & Development,5,2,Human Resources,Male,Research Scientist,4,Divorced,4700,No,4,14,26
183,33,Yes,Travel_Frequently,Sales,4,4,Human Resources,Female,Sales Representative,3,Married,8558,No,3,6,12
184,28,No,Travel_Frequently,Research & Development,4,4,Other,Male,Research Scientist,2,Single,10228,No,1,7,15
185,47,No,Travel_Rarely,Human Resources,9,4,Technical Degree,Male,Human Resources,4,Divorced,4116,No,3,7,10
186,27,No,Travel_Rarely,Research & Development,17,3,Other,Female,Research Director,4,Single,17000,No,3,2,12
187,45,No,Travel_Rarely,Sales,7,3,Technical Degree,Female,Sales Executive,1,Single,11905,Yes,3,5,14
188,48,No,Travel_Rarely,Research & Development,19,3,Marketing,Male,Manager,4,Single,12000,No,3,38,49
189,34,No,Non-Travel,Sales,1,4,Medical,Male,Sales Representative,4,Single,11186,No,2,8,14
190,23,No,Travel_Frequently,Research & Development,3,4,Life Sciences,Female,Research Scientist,3,Married,7948,Yes,4,1,1
191,41,Yes,Travel_Rarely,Research & Development,5,2,Technical Degree,Male,Research Director,3,Divorced,17000,Yes,3,12,14
192,22,No,Travel_Frequently,Research & Development,4,2,Life Sciences,Female,Manufacturing Director,3,Divorced,3604,No,3,1,5
193,36,No,Travel_Frequently,Research & Development,5,3,Human Resources,Female,Laboratory Technician,2,Divorced,7150,No,3,1,16
194,28,Yes,Travel_Frequently,Research & Development,2,2,Marketing,Female,Laboratory Technician,4,Single,1820,Yes,2,1,8
195,28,No,Travel_Rarely,Research & Development,2,4,Medical,Female,Laboratory Technician,4,Married,2383,No,3,18,23
196,24,No,Travel_Frequently,Sales,19,2,Other,Male,Sales Executive,1,Single,5754,No,3,25,36
197,28,No,Travel_Rarely,Sales,2,3,Marketing,Female,Sales Executive,4,Single,4134,No,2,1,14
198,24,No,Non-Travel,Research & Development,15,3,Medical,Male,Manufacturing Director,2,Married,3539,No,1,1,15
199,60,No,Travel_Rarely,Sales,5,4,Life Sciences,Female,Sales Executive,3,Married,9056,No,3,1,1
200,38,Yes,Travel_Rarely,Research & Development,6,5,Life Sciences,Female,Research Director,4,Divorced,17000,Yes,3,5,11
201,22,No,Non-Travel,Sales,8,2,Life Sciences,Female,Sales Executive,1,Divorced,11900,No,2,1,16
202,53,Yes,Non-Travel,Research & Development,3,3,Medical,Male,Healthcare Representative,4,Single,5490,Yes,2,16,23
203,40,No,Travel_Rarely,Research & Development,10,3,Marketing,Female,Healthcare Representative,3,Divorced,1037,No,4,8,22
204,30,No,Non-Travel,Research & Development,9,4,Medical,Female,Laboratory Technician,2,Single,4951,No,3,23,23
205,42,No,Travel_Rarely,Research & Development,5,5,Life Sciences,Male,Research Scientist,3,Divorced,4564,No,3,3,13
206,60,No,Travel_Rarely,Research & Development,8,4,Other,Male,Manager,4,Single,12000,No,3,18,29
207,36,No,Travel_Frequently,Research & Development,6,3,Technical Degree,Female,Manager,2,Single,12000,No,2,17,28
208,37,No,Travel_Frequently,Research & Development,5,4,Technical Degree,Male,Laboratory Technician,2,Married,5793,No,3,1,2
209,30,No,Travel_Frequently,Research & Development,11,3,Life Sciences,Female,Manufacturing Director,3,Single,13433,No,3,2,11
210,36,No,Travel_Rarely,Research & Development,3,3,Technical Degree,Female,Manager,1,Married,12000,No,2,1,7
211,24,Yes,Travel_Rarely,Sales,10,4,Medical,Female,Sales Representative,1,Married,3298,No,3,1,10
212,30,No,Non-Travel,Research & Development,1,4,Medical,Female,Manufacturing Director,4,Single,3573,No,3,27,33
213,30,No,Non-Travel,Research & Development,29,3,Other,Female,Healthcare Representative,4,Married,11014,No,3,10,10
214,33,No,Non-Travel,Research & Development,4,4,Other,Male,Laboratory Technician,4,Single,10131,No,2,1,2
215,41,No,Non-Travel,Research & Development,11,3,Medical,Male,Manager,2,Married,12000,No,3,5,6
216,25,No,Travel_Rarely,Research & Development,9,2,Life Sciences,Female,Research Director,3,Divorced,17000,No,2,1,9
217,22,No,Non-Travel,Research & Development,8,3,Technical Degree,Female,Research Director,2,Married,17000,No,3,13,21
218,26,No,Non-Travel,Research & Development,2,4,Life Sciences,Male,Manufacturing Director,4,Divorced,8750,Yes,3,5,18
219,35,No,Non-Travel,Sales,1,5,Technical Degree,Female,Manager,3,Single,12000,No,1,1,7
220,38,No,Travel_Frequently,Research & Development,12,3,Other,Male,Manager,4,Single,12000,Yes,3,9,18
221,40,Yes,Non-Travel,Research & Development,14,3,Other,Male,Laboratory Technician,1,Divorced,5477,Yes,3,15,29
222,34,Yes,Travel_Rarely,Research & Development,4,3,Marketing,Male,Research Director,2,Single,17000,No,3,2,8
223,36,No,Travel_Frequently,Research & Development,2,2,Medical,Male,Laboratory Technician,1,Divorced,4224,No,3,9,22
224,30,Yes,Travel_Rarely,Sales,1,4,Life Sciences,Female,Sales Representative,4,Single,10450,No,3,1,9
225,21,Yes,Travel_Rarely,Research & Development,11,5,Marketing,Male,Manufacturing Director,2,Single,5700,Yes,3,1,5
226,24,Yes,Travel_Frequently,Research & Development,8,4,Human Resources,Male,Healthcare Representative,1,Married,5299,Yes,3,3,4
227,36,Yes,Non-Travel,Sales,1,3,Other,Male,Manager,4,Married,12971,Yes,3,30,40
228,24,Yes,Non-Travel,Sales,2,3,Human Resources,Female,Manager,2,Divorced,12000,No,2,5,13
229,27,No,Travel_Frequently,Research & Development,1,1,Life Sciences,Male,Manager,4,Single,12000,Yes,2,4,10
230,23,Yes,Travel_Frequently,Sales,1,3,Human Resources,Male,Sales Executive,4,Single,3488,No,1,11,12
231,23,No,Non-Travel,Research & Development,2,4,Medical,Female,Manufacturing Director,4,Single,6762,No,2,0,13
232,37,No,Travel_Rarely,Sales,2,5,Technical Degree,Male,Sales Executive,4,Married,5378,No,3,0,10
233,55,No,Travel_Frequently,Sales,14,4,Technical Degree,Male,Manager,4,Single,12089,No,4,8,23
234,40,No,Non-Travel,Research & Development,11,4,Human Resources,Female,Research Director,1,Single,17000,No,3,5,8
235,27,No,Non-Travel,Research & Development,4,4,Other,Female,Manager,3,Divorced,12000,No,3,21,22
236,36,No,Non-Travel,Research & Development,4,4,Life Sciences,Female,Manufacturing Director,4,Married,11443,No,3,2,2
237,30,No,Travel_Rarely,Research & Development,2,4,Marketing,Female,Research Scientist,3,Single,10126,Yes,3,2,10
238,53,No,Non-Travel,Research & Development,12,2,Marketing,Female,Manufacturing Director,2,Married,15222,No,3,21,33
239,43,No,Travel_Rarely,Research & Development,9,5,Technical Degree,Male,Research Scientist,4,Divorced,5931,No,3,5,13
240,35,No,Non-Travel,Research & Development,6,3,Marketing,Female,Manager,3,Single,12000,No,3,2,14
241,24,No,Travel_Frequently,Research & Development,2,3,Human Resources,Female,Research Director,1,Divorced,17000,No,4,22,36
242,26,No,Travel_Rarely,Sales,13,4,Medical,Female,Sales Representative,3,Married,7373,No,4,2,2
243,37,No,Non-Travel,Human Resources,2,3,Human Resources,Female,Manager,1,Divorced,12000,No,3,4,5
