Year,Month,Date,Source,Production_GWh,Quarter
2019,12,2019-12-01,Wind,1685.8,Q4
2019,12,2019-12-01,Solar,35.5,Q4
2019,12,2019-12-01,Biomass,560.8,Q4
2019,12,2019-12-01,Natural Gas,271.0,Q4
2019,12,2019-12-01,Coal,314.1,Q4
2019,12,2019-12-01,Net Imports,262.2,Q4
2020,1,2020-01-01,Wind,1677.0,Q1
2020,1,2020-01-01,Solar,42.5,Q1
2020,1,2020-01-01,Biomass,577.9,Q1
2020,1,2020-01-01,Natural Gas,262.0,Q1
2020,1,2020-01-01,Coal,264.2,Q1
2020,1,2020-01-01,Net Imports,237.6,Q1
2020,2,2020-02-01,Wind,1832.4,Q1
2020,2,2020-02-01,Solar,114.1,Q1
2020,2,2020-02-01,Biomass,568.6,Q1
2020,2,2020-02-01,Natural Gas,253.4,Q1
2020,2,2020-02-01,Coal,260.6,Q1
2020,2,2020-02-01,Net Imports,234.2,Q1
2020,3,2020-03-01,Wind,1181.3,Q1
2020,3,2020-03-01,Solar,113.0,Q1
2020,3,2020-03-01,Biomass,453.9,Q1
2020,3,2020-03-01,Natural Gas,157.8,Q1
2020,3,2020-03-01,Coal,193.8,Q1
2020,3,2020-03-01,Net Imports,250.2,Q1
2020,4,2020-04-01,Wind,1160.2,Q2
2020,4,2020-04-01,Solar,118.6,Q2
2020,4,2020-04-01,Biomass,501.7,Q2
2020,4,2020-04-01,Natural Gas,153.9,Q2
2020,4,2020-04-01,Coal,199.4,Q2
2020,4,2020-04-01,Net Imports,251.6,Q2
2020,5,2020-05-01,Wind,1157.3,Q2
2020,5,2020-05-01,Solar,178.2,Q2
2020,5,2020-05-01,Biomass,507.5,Q2
2020,5,2020-05-01,Natural Gas,167.1,Q2
2020,5,2020-05-01,Coal,207.2,Q2
2020,5,2020-05-01,Net Imports,256.2,Q2
2020,6,2020-06-01,Wind,890.7,Q2
2020,6,2020-06-01,Solar,180.0,Q2
2020,6,2020-06-01,Biomass,443.8,Q2
2020,6,2020-06-01,Natural Gas,163.4,Q2
2020,6,2020-06-01,Coal,205.5,Q2
2020,6,2020-06-01,Net Imports,243.7,Q2
2020,7,2020-07-01,Wind,880.0,Q3
2020,7,2020-07-01,Solar,194.6,Q3
2020,7,2020-07-01,Biomass,511.2,Q3
2020,7,2020-07-01,Natural Gas,154.6,Q3
2020,7,2020-07-01,Coal,204.8,Q3
2020,7,2020-07-01,Net Imports,238.7,Q3
2020,8,2020-08-01,Wind,898.1,Q3
2020,8,2020-08-01,Solar,106.9,Q3
2020,8,2020-08-01,Biomass,450.9,Q3
2020,8,2020-08-01,Natural Gas,163.9,Q3
2020,8,2020-08-01,Coal,205.5,Q3
2020,8,2020-08-01,Net Imports,236.3,Q3
2020,9,2020-09-01,Wind,1164.2,Q3
2020,9,2020-09-01,Solar,118.9,Q3
2020,9,2020-09-01,Biomass,470.1,Q3
2020,9,2020-09-01,Natural Gas,174.8,Q3
2020,9,2020-09-01,Coal,209.8,Q3
2020,9,2020-09-01,Net Imports,227.4,Q3
2020,10,2020-10-01,Wind,1309.6,Q4
2020,10,2020-10-01,Solar,117.4,Q4
2020,10,2020-10-01,Biomass,510.0,Q4
2020,10,2020-10-01,Natural Gas,176.5,Q4
2020,10,2020-10-01,Coal,219.7,Q4
2020,10,2020-10-01,Net Imports,231.9,Q4
2020,11,2020-11-01,Wind,1693.9,Q4
2020,11,2020-11-01,Solar,42.5,Q4
2020,11,2020-11-01,Biomass,565.2,Q4
2020,11,2020-11-01,Natural Gas,153.6,Q4
2020,11,2020-11-01,Coal,204.1,Q4
2020,11,2020-11-01,Net Imports,264.1,Q4
2020,12,2020-12-01,Wind,1634.1,Q4
2020,12,2020-12-01,Solar,46.6,Q4
2020,12,2020-12-01,Biomass,570.2,Q4
2020,12,2020-12-01,Natural Gas,249.6,Q4
2020,12,2020-12-01,Coal,297.7,Q4
2020,12,2020-12-01,Net Imports,264.4,Q4
2021,1,2021-01-01,Wind,1798.6,Q1
2021,1,2021-01-01,Solar,54.4,Q1
2021,1,2021-01-01,Biomass,553.4,Q1
2021,1,2021-01-01,Natural Gas,229.8,Q1
2021,1,2021-01-01,Coal,253.5,Q1
2021,1,2021-01-01,Net Imports,245.6,Q1
2021,2,2021-02-01,Wind,1794.8,Q1
2021,2,2021-02-01,Solar,136.7,Q1
2021,2,2021-02-01,Biomass,544.3,Q1
2021,2,2021-02-01,Natural Gas,240.7,Q1
2021,2,2021-02-01,Coal,235.9,Q1
2021,2,2021-02-01,Net Imports,256.3,Q1
2021,3,2021-03-01,Wind,1203.6,Q1
2021,3,2021-03-01,Solar,141.1,Q1
2021,3,2021-03-01,Biomass,451.4,Q1
2021,3,2021-03-01,Natural Gas,147.5,Q1
2021,3,2021-03-01,Coal,179.6,Q1
2021,3,2021-03-01,Net Imports,249.4,Q1
2021,4,2021-04-01,Wind,1219.4,Q2
2021,4,2021-04-01,Solar,123.4,Q2
2021,4,2021-04-01,Biomass,514.1,Q2
2021,4,2021-04-01,Natural Gas,149.0,Q2
2021,4,2021-04-01,Coal,179.5,Q2
2021,4,2021-04-01,Net Imports,247.2,Q2
2021,5,2021-05-01,Wind,1256.9,Q2
2021,5,2021-05-01,Solar,226.4,Q2
2021,5,2021-05-01,Biomass,485.7,Q2
2021,5,2021-05-01,Natural Gas,166.1,Q2
2021,5,2021-05-01,Coal,168.5,Q2
2021,5,2021-05-01,Net Imports,251.0,Q2
2021,6,2021-06-01,Wind,854.1,Q2
2021,6,2021-06-01,Solar,219.7,Q2
2021,6,2021-06-01,Biomass,497.2,Q2
2021,6,2021-06-01,Natural Gas,150.3,Q2
2021,6,2021-06-01,Coal,171.7,Q2
2021,6,2021-06-01,Net Imports,252.4,Q2
2021,7,2021-07-01,Wind,830.4,Q3
2021,7,2021-07-01,Solar,222.0,Q3
2021,7,2021-07-01,Biomass,522.5,Q3
2021,7,2021-07-01,Natural Gas,167.6,Q3
2021,7,2021-07-01,Coal,164.8,Q3
2021,7,2021-07-01,Net Imports,231.4,Q3
2021,8,2021-08-01,Wind,857.9,Q3
2021,8,2021-08-01,Solar,140.6,Q3
2021,8,2021-08-01,Biomass,513.4,Q3
2021,8,2021-08-01,Natural Gas,164.7,Q3
2021,8,2021-08-01,Coal,173.2,Q3
2021,8,2021-08-01,Net Imports,229.3,Q3
2021,9,2021-09-01,Wind,1341.4,Q3
2021,9,2021-09-01,Solar,135.7,Q3
2021,9,2021-09-01,Biomass,492.6,Q3
2021,9,2021-09-01,Natural Gas,167.4,Q3
2021,9,2021-09-01,Coal,181.2,Q3
2021,9,2021-09-01,Net Imports,223.5,Q3
2021,10,2021-10-01,Wind,1338.0,Q4
2021,10,2021-10-01,Solar,127.2,Q4
2021,10,2021-10-01,Biomass,496.6,Q4
2021,10,2021-10-01,Natural Gas,166.2,Q4
2021,10,2021-10-01,Coal,166.5,Q4
2021,10,2021-10-01,Net Imports,227.6,Q4
2021,11,2021-11-01,Wind,1670.7,Q4
2021,11,2021-11-01,Solar,53.0,Q4
2021,11,2021-11-01,Biomass,564.4,Q4
2021,11,2021-11-01,Natural Gas,157.9,Q4
2021,11,2021-11-01,Coal,183.0,Q4
2021,11,2021-11-01,Net Imports,231.1,Q4
2021,12,2021-12-01,Wind,1821.0,Q4
2021,12,2021-12-01,Solar,50.6,Q4
2021,12,2021-12-01,Biomass,584.7,Q4
2021,12,2021-12-01,Natural Gas,253.0,Q4
2021,12,2021-12-01,Coal,248.9,Q4
2021,12,2021-12-01,Net Imports,226.8,Q4
2022,1,2022-01-01,Wind,1849.0,Q1
2022,1,2022-01-01,Solar,59.8,Q1
2022,1,2022-01-01,Biomass,550.0,Q1
2022,1,2022-01-01,Natural Gas,233.0,Q1
2022,1,2022-01-01,Coal,204.8,Q1
2022,1,2022-01-01,Net Imports,231.0,Q1
2022,2,2022-02-01,Wind,1944.1,Q1
2022,2,2022-02-01,Solar,156.4,Q1
2022,2,2022-02-01,Biomass,590.6,Q1
2022,2,2022-02-01,Natural Gas,205.8,Q1
2022,2,2022-02-01,Coal,186.8,Q1
2022,2,2022-02-01,Net Imports,254.9,Q1
2022,3,2022-03-01,Wind,1423.5,Q1
2022,3,2022-03-01,Solar,156.2,Q1
2022,3,2022-03-01,Biomass,520.0,Q1
2022,3,2022-03-01,Natural Gas,147.9,Q1
2022,3,2022-03-01,Coal,141.9,Q1
2022,3,2022-03-01,Net Imports,225.8,Q1
2022,4,2022-04-01,Wind,1296.0,Q2
2022,4,2022-04-01,Solar,165.0,Q2
2022,4,2022-04-01,Biomass,517.0,Q2
2022,4,2022-04-01,Natural Gas,154.4,Q2
2022,4,2022-04-01,Coal,159.9,Q2
2022,4,2022-04-01,Net Imports,229.0,Q2
2022,5,2022-05-01,Wind,1283.5,Q2
2022,5,2022-05-01,Solar,246.9,Q2
2022,5,2022-05-01,Biomass,515.7,Q2
2022,5,2022-05-01,Natural Gas,155.0,Q2
2022,5,2022-05-01,Coal,148.1,Q2
2022,5,2022-05-01,Net Imports,244.8,Q2
2022,6,2022-06-01,Wind,884.2,Q2
2022,6,2022-06-01,Solar,281.8,Q2
2022,6,2022-06-01,Biomass,522.4,Q2
2022,6,2022-06-01,Natural Gas,157.1,Q2
2022,6,2022-06-01,Coal,157.8,Q2
2022,6,2022-06-01,Net Imports,254.8,Q2
2022,7,2022-07-01,Wind,864.8,Q3
2022,7,2022-07-01,Solar,273.7,Q3
2022,7,2022-07-01,Biomass,480.3,Q3
2022,7,2022-07-01,Natural Gas,156.1,Q3
2022,7,2022-07-01,Coal,157.6,Q3
2022,7,2022-07-01,Net Imports,254.1,Q3
2022,8,2022-08-01,Wind,982.5,Q3
2022,8,2022-08-01,Solar,149.3,Q3
2022,8,2022-08-01,Biomass,516.3,Q3
2022,8,2022-08-01,Natural Gas,136.8,Q3
2022,8,2022-08-01,Coal,159.3,Q3
2022,8,2022-08-01,Net Imports,253.9,Q3
2022,9,2022-09-01,Wind,1277.7,Q3
2022,9,2022-09-01,Solar,163.0,Q3
2022,9,2022-09-01,Biomass,490.5,Q3
2022,9,2022-09-01,Natural Gas,141.4,Q3
2022,9,2022-09-01,Coal,157.4,Q3
2022,9,2022-09-01,Net Imports,229.7,Q3
2022,10,2022-10-01,Wind,1235.2,Q4
2022,10,2022-10-01,Solar,147.5,Q4
2022,10,2022-10-01,Biomass,480.0,Q4
2022,10,2022-10-01,Natural Gas,154.5,Q4
2022,10,2022-10-01,Coal,161.6,Q4
2022,10,2022-10-01,Net Imports,231.7,Q4
2022,11,2022-11-01,Wind,1914.3,Q4
2022,11,2022-11-01,Solar,61.0,Q4
2022,11,2022-11-01,Biomass,643.5,Q4
2022,11,2022-11-01,Natural Gas,146.8,Q4
2022,11,2022-11-01,Coal,160.9,Q4
2022,11,2022-11-01,Net Imports,225.4,Q4
2022,12,2022-12-01,Wind,2012.8,Q4
2022,12,2022-12-01,Solar,58.9,Q4
2022,12,2022-12-01,Biomass,641.7,Q4
2022,12,2022-12-01,Natural Gas,214.9,Q4
2022,12,2022-12-01,Coal,187.9,Q4
2022,12,2022-12-01,Net Imports,237.6,Q4
2023,1,2023-01-01,Wind,2037.3,Q1
2023,1,2023-01-01,Solar,71.0,Q1
2023,1,2023-01-01,Biomass,619.8,Q1
2023,1,2023-01-01,Natural Gas,210.3,Q1
2023,1,2023-01-01,Coal,167.3,Q1
2023,1,2023-01-01,Net Imports,240.7,Q1
2023,2,2023-02-01,Wind,1888.3,Q1
2023,2,2023-02-01,Solar,189.1,Q1
2023,2,2023-02-01,Biomass,560.9,Q1
2023,2,2023-02-01,Natural Gas,224.2,Q1
2023,2,2023-02-01,Coal,171.4,Q1
2023,2,2023-02-01,Net Imports,246.1,Q1
2023,3,2023-03-01,Wind,1458.3,Q1
2023,3,2023-03-01,Solar,188.0,Q1
2023,3,2023-03-01,Biomass,492.5,Q1
2023,3,2023-03-01,Natural Gas,127.8,Q1
2023,3,2023-03-01,Coal,131.1,Q1
2023,3,2023-03-01,Net Imports,231.3,Q1
2023,4,2023-04-01,Wind,1362.1,Q2
2023,4,2023-04-01,Solar,193.2,Q2
2023,4,2023-04-01,Biomass,521.2,Q2
2023,4,2023-04-01,Natural Gas,132.9,Q2
2023,4,2023-04-01,Coal,123.9,Q2
2023,4,2023-04-01,Net Imports,234.3,Q2
2023,5,2023-05-01,Wind,1382.0,Q2
2023,5,2023-05-01,Solar,301.0,Q2
2023,5,2023-05-01,Biomass,473.4,Q2
2023,5,2023-05-01,Natural Gas,135.5,Q2
2023,5,2023-05-01,Coal,136.8,Q2
2023,5,2023-05-01,Net Imports,244.5,Q2
2023,6,2023-06-01,Wind,1046.1,Q2
2023,6,2023-06-01,Solar,316.9,Q2
2023,6,2023-06-01,Biomass,487.4,Q2
2023,6,2023-06-01,Natural Gas,138.3,Q2
2023,6,2023-06-01,Coal,117.6,Q2
2023,6,2023-06-01,Net Imports,229.6,Q2
2023,7,2023-07-01,Wind,971.7,Q3
2023,7,2023-07-01,Solar,315.1,Q3
2023,7,2023-07-01,Biomass,515.9,Q3
2023,7,2023-07-01,Natural Gas,136.5,Q3
2023,7,2023-07-01,Coal,126.6,Q3
2023,7,2023-07-01,Net Imports,226.9,Q3
2023,8,2023-08-01,Wind,978.5,Q3
2023,8,2023-08-01,Solar,194.8,Q3
2023,8,2023-08-01,Biomass,527.3,Q3
2023,8,2023-08-01,Natural Gas,130.0,Q3
2023,8,2023-08-01,Coal,119.3,Q3
2023,8,2023-08-01,Net Imports,238.3,Q3
2023,9,2023-09-01,Wind,1433.8,Q3
2023,9,2023-09-01,Solar,178.2,Q3
2023,9,2023-09-01,Biomass,529.1,Q3
2023,9,2023-09-01,Natural Gas,142.8,Q3
2023,9,2023-09-01,Coal,131.3,Q3
2023,9,2023-09-01,Net Imports,227.3,Q3
2023,10,2023-10-01,Wind,1336.3,Q4
2023,10,2023-10-01,Solar,169.1,Q4
2023,10,2023-10-01,Biomass,482.9,Q4
2023,10,2023-10-01,Natural Gas,136.7,Q4
2023,10,2023-10-01,Coal,134.9,Q4
2023,10,2023-10-01,Net Imports,221.5,Q4
2023,11,2023-11-01,Wind,1938.6,Q4
2023,11,2023-11-01,Solar,74.7,Q4
2023,11,2023-11-01,Biomass,579.7,Q4
2023,11,2023-11-01,Natural Gas,141.6,Q4
2023,11,2023-11-01,Coal,127.7,Q4
2023,11,2023-11-01,Net Imports,228.0,Q4
2023,12,2023-12-01,Wind,2014.6,Q4
2023,12,2023-12-01,Solar,67.4,Q4
2023,12,2023-12-01,Biomass,633.9,Q4
2023,12,2023-12-01,Natural Gas,219.0,Q4
2023,12,2023-12-01,Coal,159.7,Q4
2023,12,2023-12-01,Net Imports,234.9,Q4
2024,1,2024-01-01,Wind,1956.7,Q1
2024,1,2024-01-01,Solar,92.7,Q1
2024,1,2024-01-01,Biomass,623.4,Q1
2024,1,2024-01-01,Natural Gas,183.1,Q1
2024,1,2024-01-01,Coal,139.0,Q1
2024,1,2024-01-01,Net Imports,248.5,Q1
2024,2,2024-02-01,Wind,2049.4,Q1
2024,2,2024-02-01,Solar,226.4,Q1
2024,2,2024-02-01,Biomass,638.3,Q1
2024,2,2024-02-01,Natural Gas,212.7,Q1
2024,2,2024-02-01,Coal,147.0,Q1
2024,2,2024-02-01,Net Imports,252.3,Q1
2024,3,2024-03-01,Wind,1566.4,Q1
2024,3,2024-03-01,Solar,219.9,Q1
2024,3,2024-03-01,Biomass,531.5,Q1
2024,3,2024-03-01,Natural Gas,129.1,Q1
2024,3,2024-03-01,Coal,114.4,Q1
2024,3,2024-03-01,Net Imports,237.2,Q1
2024,4,2024-04-01,Wind,1567.8,Q2
2024,4,2024-04-01,Solar,224.4,Q2
2024,4,2024-04-01,Biomass,511.4,Q2
2024,4,2024-04-01,Natural Gas,124.0,Q2
2024,4,2024-04-01,Coal,104.2,Q2
2024,4,2024-04-01,Net Imports,240.6,Q2
2024,5,2024-05-01,Wind,1536.8,Q2
2024,5,2024-05-01,Solar,368.4,Q2
2024,5,2024-05-01,Biomass,523.9,Q2
2024,5,2024-05-01,Natural Gas,124.4,Q2
2024,5,2024-05-01,Coal,101.3,Q2
2024,5,2024-05-01,Net Imports,227.3,Q2
2024,6,2024-06-01,Wind,994.2,Q2
2024,6,2024-06-01,Solar,356.5,Q2
2024,6,2024-06-01,Biomass,516.8,Q2
2024,6,2024-06-01,Natural Gas,121.5,Q2
2024,6,2024-06-01,Coal,103.9,Q2
2024,6,2024-06-01,Net Imports,242.7,Q2
2024,7,2024-07-01,Wind,1066.0,Q3
2024,7,2024-07-01,Solar,341.5,Q3
2024,7,2024-07-01,Biomass,505.9,Q3
2024,7,2024-07-01,Natural Gas,129.9,Q3
2024,7,2024-07-01,Coal,107.2,Q3
2024,7,2024-07-01,Net Imports,224.3,Q3
2024,8,2024-08-01,Wind,1018.7,Q3
2024,8,2024-08-01,Solar,230.0,Q3
2024,8,2024-08-01,Biomass,520.4,Q3
2024,8,2024-08-01,Natural Gas,133.0,Q3
2024,8,2024-08-01,Coal,114.8,Q3
2024,8,2024-08-01,Net Imports,245.4,Q3
2024,9,2024-09-01,Wind,1445.9,Q3
2024,9,2024-09-01,Solar,198.9,Q3
2024,9,2024-09-01,Biomass,501.3,Q3
2024,9,2024-09-01,Natural Gas,134.2,Q3
2024,9,2024-09-01,Coal,114.8,Q3
2024,9,2024-09-01,Net Imports,252.4,Q3
2024,10,2024-10-01,Wind,1455.0,Q4
2024,10,2024-10-01,Solar,224.5,Q4
2024,10,2024-10-01,Biomass,517.3,Q4
2024,10,2024-10-01,Natural Gas,131.1,Q4
2024,10,2024-10-01,Coal,103.8,Q4
2024,10,2024-10-01,Net Imports,224.8,Q4
2024,11,2024-11-01,Wind,2042.6,Q4
2024,11,2024-11-01,Solar,79.9,Q4
2024,11,2024-11-01,Biomass,605.3,Q4
2024,11,2024-11-01,Natural Gas,132.7,Q4
2024,11,2024-11-01,Coal,107.0,Q4
2024,11,2024-11-01,Net Imports,222.8,Q4
2024,12,2024-12-01,Wind,2053.0,Q4
2024,12,2024-12-01,Solar,81.2,Q4
2024,12,2024-12-01,Biomass,633.8,Q4
2024,12,2024-12-01,Natural Gas,182.4,Q4
2024,12,2024-12-01,Coal,142.4,Q4
2024,12,2024-12-01,Net Imports,237.8,Q4
